_change_type,_scope,_changed_fields,date,end_date,summary,suggested_school,match_confidence,event_type,arrival_time,start_time,photographers,location,picture_day_info,uid,client_event_id,needs_review,possible_duplicate_in_ics,status,last_modified
ADDED,future_calendar_events,,2026-08-25,2026-08-26,HOLD Northville SENIORS (2 photogs),HOLD Northville,High,senior portraits,8:30am,9:00am,,"Northville Central School District, 131 S 3rd St, Northville, NY 12134, USA","Sue Schmitt, yearbook advisor
sschmitt@northvillecsd.org
Arrive: 8:30am
Start: 9:00am
Indoor in library, outdoors around campus
We photograph the seniors in street clothes (generally something dressy) and then in suit/tie (we provide) or drape (we provide) and cap and gown (we provide).  We shoot both indoors (formal) and outdoors (casual) and our outdoor portraits incorporate different spots around school to give it a school spirit feel.",6qm4k3ebasspfe6pdksgac736r@google.com,ics_512ab92cb90d315f,,,CONFIRMED,20260603T153840Z
ADDED,future_calendar_events,,2026-09-03,2026-09-03,HOLD Northville Fall Sports (1 team),HOLD Northville,High,senior portraits,2:00pm,2:40pm,,"Northville Central School District, 131 S 3rd St, Northville, NY 12134, USA","Sue Schmitt, yearbook editor
sschmitt@northvillecsd.org

John Karbowski, Athletic Director
jkarbowski@northvillecsd.org

Renee Mackey
mackeyr003@gmail.com

Arrive: 2pm
Start: 2:40pm

Indoor in library
Group Team photos - AND separate group shot of all seniors together
Photographing all teams, schedule below:",58jhg98r9t454g8p23ubfcs86p@google.com,ics_6208e910c75d7c18,,,CONFIRMED,20260603T155502Z
ADDED,future_calendar_events,,2026-09-23,2026-09-23,HOLD Northville Picture Day (2 teams),HOLD Northville,High,graduation/pano,7:45am,8:15am,,"Northville Central School District, 131 S 3rd St, Northville, NY 12134, USA","Tammy Reidell, Principal
treidell@northvillecsd.org
Sue Schmitt, yearbook editor
sschmitt@northvillecsd.org
Set-up: 7:45am
Start time: 8:15am
Indoor: Classroom near Library
Individuals of students grades PK-12 (grade 12 for IDs)
Individuals of Faculty
Yearbook support
IDs for grades 6-12
Service strips for pk-5
GROUP class photos outdoors on steps",3re4d9bpph6leu1gf343mdupba@google.com,ics_043a0840ed3ccb56,,,CONFIRMED,20260603T154444Z
ADDED,future_calendar_events,,2026-09-25,2026-09-25,HOLD Glencliff Elementary (2 teams),HOLD Glencliff Elementary,High,review,7:45,8:30a,,"Glencliff Elementary School, 961 Riverview Rd, Rexford, NY 12148, USA","Ashley Steele, PTO co-president
glencliffpto.copres@gmail.com
cell : (518) 461-7486

Arrive: 7:45-8:00a
Start: 8:30a

Indoor in Gym
350 students
Individuals of all students and faculty/staff
All service items
Yearbook - Treering
Collages (told March for a delivery date)",3i6k67psfol41ft1dounpe1ku7@google.com,ics_30be45a86ab38807,,,CONFIRMED,20260601T195207Z
ADDED,future_calendar_events,,2026-10-02,2026-10-02,HOLD Jefferson Elementary School (3 teams),HOLD Jefferson Elementary School,High,picture day,8:00am,8:30am,,"Jefferson Elementary School, 100 Princetown Rd, Schenectady, NY 12306, USA","Corrie Hoffman, PTA picture day contact
corrieh06@gmail.com

Main Office Admin
Denise Smith
dsmith@schalmont.net

Schedule prepared by Mr. Gifford, the principal.

700 STUDENTS K-4
Faculty too

Arrive: 8am - check in at the main office
Start: 8:30am staff, 9am students

Indoor photos on stage and spec classroom
collages
Treering / sticker strips

Schalmont Central School District",6aud26hjtquui9gcjq9bu29cs3@google.com,ics_582b4c85fa4ee936,,,CONFIRMED,20260601T191102Z
ADDED,future_calendar_events,,2026-10-26,2026-10-26,HOLD Wildwood School - Latham Site (Andrew +1),HOLD Wildwood School - Latham Site,High,review,,9:30,Andrew,"Wildwood School, 1190 Troy-Schenectady Rd, Latham, NY 12110, USA","Kellie or Willow, new main office admins
school-office@
wildwoodprograms.org
Classes 19-22 are in Latham
""For our Latham location, students are still arriving until 9:15. Your staff is welcome to come and set up at whatever time works best for them. Classes have requested that photo sessions start at 9:30 and that they have 20-30 minutes per class.""
Times: 9am set-up for an 9:30am start
Indoor
students with special needs
Individuals pics of all students 
Continuous lights? 
No collages or class photos
Needs PSPA for yearbook",62mv8rha77sf5lto8t35lq4tvs@google.com,ics_4d523a34b1b50570,,,CONFIRMED,20260603T155030Z
ADDED,future_calendar_events,,2026-10-27,2026-10-27,HOLD Northville Makeup Day (1 team),HOLD Northville,High,makeup/retake,11:00am,11:30am,,"Northville Central School District, 131 S 3rd St, Northville, NY 12134, USA","Sue Schmitt, yearbook editor
sschmitt@northvillecsd.org

Arrive: 11:00am
Start: 11:30am makeups, then 12:15pm with the Senior, then makeups again at 12:30 until they end. Told school you have to be gone by 3-3:15pm, no later (had already stated that in an earlier email). ckg

Indoor - regular school photo makeups",47hu6g5hrkm595ga06abv9i9sl@google.com,ics_d778b2f00e853930,,,CONFIRMED,20260603T155229Z
ADDED,future_calendar_events,,2026-10-27,2026-10-28,HOLD Wildwood School - Curry Road (Andrew + 1),HOLD Wildwood School - Curry Road,High,review,,,Andrew,"Wildwood Programs, 2995 Curry Rd, Schenectady, NY 12303, USA","Kellie or Willow, new main office admins
school-office@
wildwoodprograms.org
2 Days at Curry Road site
Classes 1-18
""For our Curry Rd location, students are still arriving until 9:00. We could start picture sessions at 9:15 and do 15-20 minute blocks. We may also need to have some ""free"" blocks, where staff can bring students down separately, due to behaviors, etc. ""
Times: 8:45a set-up for an 9:15am start 
Indoor 
students with special needs 
Individuals pics of all students 
Continuous lights? 
No collages or class photos 
Needs PSPA for yearbook",1lr9uoqqbn4fp4rtuvj7g7l3p7@google.com,ics_956c3d779ee6e80f,,,CONFIRMED,20260603T155039Z
ADDED,future_calendar_events,,2026-10-28,2026-10-28,HOLD Glencliff Elem Makeup Day (1 team),HOLD Glencliff Elementary School,High,makeup/retake,7:45,8:30a,,"Glencliff Elementary School, 961 Riverview Rd, Rexford, NY 12148, USA","Ashley Steele, PTO co-president
glencliffpto.copres@gmail.com
cell: (518) 461-7486
Arrive: 7:45-8:00a
Start: 8:30a",42lhv0baplotktsskd442b0mdk@google.com,ics_47f535a26298d1a3,,,CONFIRMED,20260601T195254Z
ADDED,future_calendar_events,,2026-11-06,2026-11-06,HOLD Jefferson Elementary MAKEUPS (1 team),HOLD Jefferson Elementary,High,makeup/retake,8:30,9:15am,,"Jefferson Elementary School, 100 Princetown Rd, Schenectady, NY 12306, USA","Main Office Admin
Denise Smith
dsmith@schalmont.net

PTA
Corrie Hoffman
corrieh06@gmail.com

NEW FALL 2024
700 STUDENTS K-4
Faculty too

2025 fall schedule for reference!
8:00 set up
8:30 start9:15 AM K9:30 1st9:45 3rd10:00 4th10:15 2nd10:30 Latecomers and faculty10:45 PM K",41p9mm88a7po4ucq5a4354dgah@google.com,ics_c92ea930a41903fd,,,CONFIRMED,20260601T191238Z
