scope,uid,date_old,date_new,summary_old,summary_new,field,old_value,new_value
future_calendar_events,1fhohvp5pln8sqcmb4o3qjmbog@google.com,2026-05-27,2026-05-27,AW Becker Elem Spring Photos (2 teams),AW Becker Elem Spring Photos (2 teams),last_modified,20260507T170325Z,20260602T134947Z
future_calendar_events,307vi6gtmusp2nvobedf7a1j19@google.com,2026-06-12,2026-06-12,Rosendale Elem Field Day (1 photog),Rosendale Elem Field Day (1 photog),picture_day_info,"Ashley Feldman, PTO
ashleyfeldman929@gmail.com

Rain date in June 18

4/9/26 booked, still need details! ckg","Ashley Feldman, PTO
ashleyfeldman929@gmail.com

Rain date in June 18

6/2/26 June 12 (Field Day) - It starts at 8AM and runs through around noon. 
emailed Ashley cc Molly ckg

4/9/26 booked, still need details! ckg"
future_calendar_events,307vi6gtmusp2nvobedf7a1j19@google.com,2026-06-12,2026-06-12,Rosendale Elem Field Day (1 photog),Rosendale Elem Field Day (1 photog),last_modified,20260429T145758Z,20260602T133207Z
future_calendar_events,6r0c7lj4u90rao6nu7hbdml2sj@google.com,2026-06-22,2026-06-22,Academy Golf Tournament Candids,Academy Golf Tournament Candids,picture_day_info,,"Golf shotgun 12:00
Tennis starts at 9:00, told Layne I would be there at the end of tennis so like 1030, 1100?"
future_calendar_events,6r0c7lj4u90rao6nu7hbdml2sj@google.com,2026-06-22,2026-06-22,Academy Golf Tournament Candids,Academy Golf Tournament Candids,last_modified,20260414T145806Z,20260602T121924Z
future_calendar_events,0bb5f0j855nird7rckq1mrqfle@google.com,2026-06-23,2026-06-23,Rosendale Elem Moving Up Ceremony AM (1 photog),Rosendale Elem Moving Up Ceremony AM (1 photog),picture_day_info,"Ashley Feldman, PTO picture day contact
ashleyfeldman929@gmail.com
Morning
take candids before the ceremony
photos of each 5th grader as they cross the stage and receive their moving up certificate

3/24/26 booked, details to follow ckg
Ashley Feldman
9:01 AM (2 hours ago) 3/25/26
to me
I'm waiting to confrim to with our principal, but it sounds like Moving Up Ceremony is a go!  It would be June 23 and it starts at 8:30AM but there will be decorations,etc set up that maybe you could take pictures before the actual ceremony starts if possible.  The latest it would wrap up is 10:45 I believe, but again will confirm once I have those details.","Ashley Feldman, PTO picture day contact
ashleyfeldman929@gmail.com
Morning
take candids before the ceremony
photos of each 5th grader as they cross the stage and receive their moving up certificate

6/2/26 June 23 (Moving Up Ceremony) - It starts at 8AM and runs through around noon as well! Emailed Ashley cc Beth ckg
3/24/26 booked, details to follow ckg
Ashley Feldman
9:01 AM (2 hours ago) 3/25/26
to me
I'm waiting to confrim to with our principal, but it sounds like Moving Up Ceremony is a go!  It would be June 23 and it starts at 8:30AM but there will be decorations,etc set up that maybe you could take pictures before the actual ceremony starts if possible.  The latest it would wrap up is 10:45 I believe, but again will confirm once I have those details."
future_calendar_events,0bb5f0j855nird7rckq1mrqfle@google.com,2026-06-23,2026-06-23,Rosendale Elem Moving Up Ceremony AM (1 photog),Rosendale Elem Moving Up Ceremony AM (1 photog),last_modified,20260325T153803Z,20260602T133306Z
future_calendar_events,40dh4kiu3ajkc73dlp4enku57q@google.com,2026-08-13,2026-08-13,Bourbon and Blooms,Bourbon and Blooms  MATT,summary,Bourbon and Blooms,Bourbon and Blooms  MATT
future_calendar_events,40dh4kiu3ajkc73dlp4enku57q@google.com,2026-08-13,2026-08-13,Bourbon and Blooms,Bourbon and Blooms  MATT,photographers,,Matt
future_calendar_events,40dh4kiu3ajkc73dlp4enku57q@google.com,2026-08-13,2026-08-13,Bourbon and Blooms,Bourbon and Blooms  MATT,last_modified,20260601T125027Z,20260602T122016Z
future_calendar_events,4d889o79drc39russi321fupmp@google.com,2026-08-19,2026-08-19,HOLD Waterford-Halfmoon Seniors (2 photogs),Waterford-Halfmoon Seniors (2 photogs),summary,HOLD Waterford-Halfmoon Seniors (2 photogs),Waterford-Halfmoon Seniors (2 photogs)
future_calendar_events,4d889o79drc39russi321fupmp@google.com,2026-08-19,2026-08-19,HOLD Waterford-Halfmoon Seniors (2 photogs),Waterford-Halfmoon Seniors (2 photogs),suggested_school,HOLD Waterford-Halfmoon,Waterford-Halfmoon
future_calendar_events,4d889o79drc39russi321fupmp@google.com,2026-08-19,2026-08-19,HOLD Waterford-Halfmoon Seniors (2 photogs),Waterford-Halfmoon Seniors (2 photogs),picture_day_info,"Kayla Ramundo, main contact for pictures and yearbook
kraymundo@whufsd.org

Christopher Scanlan, principal
Cscanlan@whufsd.org
Michael Healey, Superintendent
Mhealey@whufsd.org
ES GYM
Arrive: 8:30am
Start: 9am
Indoor and outdoor portraits
Bring white and red caps / gowns
Look at Class of 2026 GotPhoto galleries to see what we did then
Needs yearbook images in the FALL! NOT TREERING","Kayla Ramundo, main contact for pictures and yearbook
kraymundo@whufsd.org

Christopher Scanlan, principal
Cscanlan@whufsd.org
Michael Healey, Superintendent
Mhealey@whufsd.org
ES GYM
Arrive: 8:30am
Start: 9am
NOTE on 8/21/26 can only go until 11am per Kayla
Indoor and outdoor portraits
Bring white and red caps / gowns
Look at Class of 2026 GotPhoto galleries to see what we did then
Needs yearbook images in the FALL! NOT TREERING"
future_calendar_events,4d889o79drc39russi321fupmp@google.com,2026-08-19,2026-08-19,HOLD Waterford-Halfmoon Seniors (2 photogs),Waterford-Halfmoon Seniors (2 photogs),last_modified,20260601T150704Z,20260603T144203Z
future_calendar_events,5sf2t0ug9gq5r44htrpofaplaf@google.com,2026-09-01,2026-09-01,Waterford-Halfmoon Fall Sports (1 team),HOLD Waterford-Halfmoon Fall Sports (1 team),summary,Waterford-Halfmoon Fall Sports (1 team),HOLD Waterford-Halfmoon Fall Sports (1 team)
future_calendar_events,5sf2t0ug9gq5r44htrpofaplaf@google.com,2026-09-01,2026-09-01,Waterford-Halfmoon Fall Sports (1 team),HOLD Waterford-Halfmoon Fall Sports (1 team),suggested_school,Waterford-Halfmoon,HOLD Waterford-Halfmoon
