_change_type,_scope,_changed_fields,date,end_date,summary,suggested_school,match_confidence,event_type,arrival_time,start_time,photographers,location,picture_day_info,uid,client_event_id,needs_review,possible_duplicate_in_ics,status,last_modified
MODIFIED,future_calendar_events,last_modified,2026-05-27,2026-05-27,AW Becker Elem Spring Photos (2 teams),AW Becker Elementary School Spring,High,graduation/pano,8:45am,9:15am,,"A.W. Becker Elementary School, 1146 Rte 9W, Selkirk, NY 12158, USA","5/7/26 5th grade group being done on 5/12/26 ckg
5/6/26 school confirmed 5/27/26 date ckg; 
5/6/26 ORIGINAL DATE WAS DELETED IN ERROR FROM THE CALENDAR. OFFERING 5/22 (AND MAYBE 5/27) AS A NEW DATE PER SM ckg
**all images and 5th grade photo needs to be turned around ASAP as yearbook deadline is SOON!)**
Morgan Zinzow, Admin Asst (new fall 2025)
mzinzow@rcscsd.org
(518) 7565200 ext 5002 
Marybeth Bohl
mbohl@rcscsd.org
Setup: 8:45am
Start: 9:15 am
**PreK has a field trip from 9:30-11, so school asked they go after trip. I suggested before when they are ""fresh"" ckg**
Outdoor, PUSH INSIDE IF BAD WEATHER, room 207 (not band room)
Individuals of all students",1fhohvp5pln8sqcmb4o3qjmbog@google.com,ics_c1b15c9cb7ff6782,,,CONFIRMED,20260602T134947Z
MODIFIED,future_calendar_events,"picture_day_info, last_modified",2026-06-12,2026-06-12,Rosendale Elem Field Day (1 photog),Rosendale Elementary School Field Day,Medium,review,,,,,"Ashley Feldman, PTO
ashleyfeldman929@gmail.com

Rain date in June 18

6/2/26 June 12 (Field Day) - It starts at 8AM and runs through around noon. 
emailed Ashley cc Molly ckg

4/9/26 booked, still need details! ckg",307vi6gtmusp2nvobedf7a1j19@google.com,ics_b379edf9e51edfd4,,,CONFIRMED,20260602T133207Z
MODIFIED,future_calendar_events,"picture_day_info, last_modified",2026-06-22,2026-06-22,Academy Golf Tournament Candids,Academy Golf Tournament Candids,Medium,review,,,,,"Golf shotgun 12:00
Tennis starts at 9:00, told Layne I would be there at the end of tennis so like 1030, 1100?",6r0c7lj4u90rao6nu7hbdml2sj@google.com,ics_c43c8c22ae07df8d,,,CONFIRMED,20260602T121924Z
MODIFIED,future_calendar_events,"picture_day_info, last_modified",2026-06-23,2026-06-23,Rosendale Elem Moving Up Ceremony AM (1 photog),Rosendale Elementary School Moving Up Ceremony AM,High,graduation/pano,,,,"Rosendale School, 2445 Rosendale Rd, Schenectady, NY 12309, USA","Ashley Feldman, PTO picture day contact
ashleyfeldman929@gmail.com
Morning
take candids before the ceremony
photos of each 5th grader as they cross the stage and receive their moving up certificate

6/2/26 June 23 (Moving Up Ceremony) - It starts at 8AM and runs through around noon as well! Emailed Ashley cc Beth ckg
3/24/26 booked, details to follow ckg
Ashley Feldman
9:01 AM (2 hours ago) 3/25/26
to me
I'm waiting to confrim to with our principal, but it sounds like Moving Up Ceremony is a go!  It would be June 23 and it starts at 8:30AM but there will be decorations,etc set up that maybe you could take pictures before the actual ceremony starts if possible.  The latest it would wrap up is 10:45 I believe, but again will confirm once I have those details.",0bb5f0j855nird7rckq1mrqfle@google.com,ics_2175041cabcaedfc,,,CONFIRMED,20260602T133306Z
MODIFIED,future_calendar_events,"summary, photographers, last_modified",2026-08-13,2026-08-13,Bourbon and Blooms  MATT,Bourbon Blooms,Review,photo booth,,,Matt,,"1 photographer - posed photo booth style family/couple/group pics using farm scenery as backdrop (your choice).    Also event candids and details.  VIP Michael Turner, new head of school, make sure you get a lot of him and his wife Meredith.
Photographer assigned will be given $100 at event for you to keep.
24 hour turnaround needed.
Contact Laura Hopper
HopperL@albanyacademy.org
I also wanted to get your thoughts on an idea for the Blooms and Bourbon event on Thursday, August 13. Since this will be Michael Turner's big debut, I'd really love to elevate the experience from last year. I think a whimsical, garden-themed photo booth could be such a fun addition to the evening and a great opportunity to capture beautiful photos to share on our social media platforms.
Have you ever done something like that before? I'm envisioning a beautiful backdrop of the farm with fun props and a more styled ""photo moment"" rather than printing photos on-site. I'm not sure if that's too ambitious or too much extra work, but I think it would add to the atmosphere and make the event feel extra special. 
Looking forward to hearing what you think!
@ Nikki- Have you seen people do something like this at events on the farm? 
Blooms & Bourbon | An Evening at Old Tavern Farm
An Albany Academy Event Graciously hosted by Nikki Borisenok ‘08
Thursday, August 13, 2026 | 5:30 PM – 8:00 PM
Old Tavern Farm Agricultural Village
142 County Route 71
Stillwater, NY 12170",40dh4kiu3ajkc73dlp4enku57q@google.com,ics_7f2d54fd4cd72770,YES,,CONFIRMED,20260602T122016Z
MODIFIED,future_calendar_events,"summary, suggested_school, picture_day_info, last_modified",2026-08-19,2026-08-21,Waterford-Halfmoon Seniors (2 photogs),Waterford-Halfmoon,High,senior portraits,8:30am,9:00am,,"Waterford-Halfmoon Union Free School District, 125 Middletown Rd, Waterford, NY 12188, USA","Kayla Ramundo, main contact for pictures and yearbook
kraymundo@whufsd.org

Christopher Scanlan, principal
Cscanlan@whufsd.org
Michael Healey, Superintendent
Mhealey@whufsd.org
ES GYM
Arrive: 8:30am
Start: 9am
NOTE on 8/21/26 can only go until 11am per Kayla
Indoor and outdoor portraits
Bring white and red caps / gowns
Look at Class of 2026 GotPhoto galleries to see what we did then
Needs yearbook images in the FALL! NOT TREERING",4d889o79drc39russi321fupmp@google.com,ics_4c41a6667b40fd8e,,,CONFIRMED,20260603T144203Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2026-09-01,2026-09-01,HOLD Waterford-Halfmoon Fall Sports (1 team),HOLD Waterford-Halfmoon,High,sports,1:30pm,2:00pm,,"Waterford-Halfmoon Union Free School District, 125 Middletown Rd, Waterford, NY 12188, USA","Kyle Williams
Director of PE, Athletics and Recreation
Waterford-Halfmoon Union Free School District
125 Middletown Road
Waterford, NY 12188
(518)237-0800 ext. 1311
kywilliams@whufsd.org

Arrive: 1:30pm
Start: 2pm

LOCATION: HS Auditorium
Individual players, and group team photos
ONLY V and JV TEAMS. No modified per Kyle.",5sf2t0ug9gq5r44htrpofaplaf@google.com,ics_40a65bf1693f0857,,,CONFIRMED,20260603T153436Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2026-09-16,2026-09-17,Duanesburg MS/HS (1 team),Duanesburg Middle School/High School,High,review,7:20am,7:50am,,"Duanesburg High School, 163 School Dr, Delanson, NY 12053, USA","Andrea Hunter, Main Office
ahunter@duanesburg.org
Set-up: 7:20am
Start time: 7:50am
Indoor pics of all students and faculty
In auditorium on STAGE
During gym periods
All service items
Student and Faculty ID with bar codes
Yearbook support - Treering we flow",06cr3lqhdfpk7nk7hpipbqogie@google.com,ics_ac04476f3b59fe14,,,CONFIRMED,20260601T185805Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2026-09-18,2026-09-18,Duanesburg Elementary (2 teams+1),Duanesburg Elementary,High,review,7:30am,8:00am,,"Duanesburg Elementary School, 165 Chadwick Rd, Delanson, NY 12053, USA","Leah Simpson, secretary to the principal
lsimpson@duanesburg.org
Please check in at the main office upon arrival. Need a photo ID. 
Set-up: 7:30am
Staff start at 8am; Students start time: 8:20am 
Indoor in GYM (confirm with Leah)
Individuals of all students and faculty/staff
All service items
Group class photos
Treering Yearbook - we upload all",18ljms0s90vdqce69gnfhtf71a@google.com,ics_d418c6947126a79b,,,CONFIRMED,20260603T164229Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2026-10-08,2026-10-09,Waterford-Halfmoon MS/HS (1 team),Waterford-Halfmoon Middle School/High School,High,makeup/retake,7:00am,,,"Waterford-Halfmoon Union Free School District, 125 Middletown Rd, Waterford, NY 12188, USA","Kayla Ramundo
kramundo@whufsd.org
**bring Senior binder and attire for makeups at end of day**
Check in at main office with photo ID upon arrival
Indoor in MULTIPURPOSE ROOM
Set-up: 7am. Custodian should meet us at main door.
School day runs from 7:57am to 2:20pm
Individual photos of students by gym class
Individual photos of all faculty staff for yearbook
Please photograph their therapy dog for the yearbook
SENIORS NEED TO BE PHOTOGRAPHED FOR ID CARDS. THESE PHOTOS WILL NOT GO TO THE YEARBOOK. DO NOT HAND OUT QR CARD TO SENIORS.
no group pics or collages
ID cards for students (none for faculty)
Yearbook PSPA",4jfjvt8e1go890opj06ftuntqm@google.com,ics_5419ec24b8e081aa,,,CONFIRMED,20260603T144213Z
MODIFIED,future_calendar_events,"summary, suggested_school, match_confidence, event_type, location, picture_day_info, last_modified",2026-10-14,2026-10-15,NEW No. Albany MS (2 teams),NEW No. Albany Middle School,High,picture day,,,,"North Albany Middle School, 570 N Pearl St, Menands, NY 12204, USA","NAMS PTA
acsdnamspta@gmail.com

Kim Ruchelm, PTA picture day contact
kimberlyruchel@gmail.com

Renee Serbu, PTA picture day contact
renee.serbu@gmail.com

Arrive: 
Start: 

NEW FALL 2026
Eagle Point PTA referral (many EPES, and ASH kids are here)
Indoor during PE periods
Ask about ID cards
Yearbook - find out details",4eskhltbs7ugbimeggdjn0buu0@google.com,ics_8707ee157ecf29eb,,,CONFIRMED,20260603T145108Z
