client_event_id,uid,date,summary,old_event_type,new_event_type,old_suggested_school,canonical_school,match_method,match_score,needs_manual_school_review
ics_56a0e55dacaffd41,7e3kaua3vkvugmfsfdd5u0813i@google.com,2027-05-13,Gordon Creek PANO 5th Grade (1 photog),graduation/pano,Special Event,Gordon Creek 5th Grade,Gordon Creek Elementary School (Ballston Spa School District),manual_alias,1.0,False
ics_76302d584805b35e,15kamtao3f67ga23v8a2ju0cun@google.com,2026-11-04,HOLD Little Achiever's Preschool (1 team),picture day,Fall Picture Day,HOLD Little Achiever s Preschool,,unmatched,0.7441860465116279,True
ics_e7adb3ad0a561c52,4767k0cjolelso9m9oiv7b4si8@google.com,2025-10-22,Siena Townhouse Pics STEPH,review,Special Event,Siena Townhouse,,unmatched,0.4444444444444444,False
ics_c08567b734736b9e,06546kdg3um1agveeq4lrjulog@google.com,2026-11-05,Hudson Valley Consortium Makeups FULL DAY (REQ Molly),makeup/retake,Makeup Day,Hudson Valley Consortium FULL DAY,Hudson Valley Consortium,manual_alias,1.0,False
ics_5419ec24b8e081aa,4jfjvt8e1go890opj06ftuntqm@google.com,2026-10-08,Waterford-Halfmoon MS/HS (1 team),makeup/retake,Makeup Day,Waterford-Halfmoon Middle School/High School,Waterford MS/HS,manual_alias,1.0,False
ics_0de20fa4e3187254,7frdv2vk2l2evcoqp9nv2umt96@google.com,2025-06-17,Little Scholars Viaport Spring and Grads (1 team),graduation/pano,Special Event,Little Scholars Viaport Spring Grads,Little Scholars,manual_alias,1.0,False
ics_3b97432eba0a62cf,1p91vjnma9l7je10pdjo0vof61@google.com,2026-06-24,Gardner-Dickinson Grad Photos (1 photog),graduation/pano,Special Event,Gardner-Dickinson,,fuzzy,1.0,False
ics_36464b705c997ae7,0m2ji73qg3aivk6ls7rk4vfge8@google.com,2026-03-19,Berne-Knox-Westerlo Secondary Spring (2 teams),graduation/pano,Spring Picture Day,Berne-Knox-Westerlo Secondary Spring,,unmatched,0.6190476190476191,True
ics_4c886e3cf73fc11c,2ufcarv60f0f69m9fklrvdlk5a@google.com,2025-06-03,KinderCare Niskayuna (2 teams),picture day,Spring Picture Day,KinderCare Niskayuna,Kindercare Niskayuna,manual_alias,1.0,False
ics_03a9c631c6a961bf,2ofg0njj87adujssmb9i2uhrc4@google.com,2026-04-27,Shaker Seniors 1 photog plus assistant if possible,senior portraits,Seniors,Shaker photog assistant if possible,Shaker Seniors,fuzzy,1.0,False
