date,title,canonical_school,event_type,photographers,assistants,no_assistant,time,irm,source_file,notes_imported
2025-02-04,Wildwood Seniors,Wildwood,Seniors,Andrew,,False,TBD,,February 2025 PDF,NO
2025-02-07,Christ the King Valentine's Day Dance,Christ the King,Special Event,Matt,,False,TBD,,February 2025 PDF,NO
2025-02-07,Jefferson School Dance,Jefferson Elementary School (Schalmont School District),Special Event,Molly,,False,18:30,,February 2025 PDF,NO
2025-02-07,Karigon Yearbook Club Pictures,Karigon Elementary School (Shenendehowa School District),Special Event,Beth,,False,TBD,,February 2025 PDF,NO
2025-02-07,Wildwood Seniors 9:30am,Wildwood,Seniors,Matt,,False,09:30,,February 2025 PDF,NO
2025-02-11,Cairo Elementary PK-2,Cairo-Durham Elem,Spring Picture Day,Steph; Jeff,,False,TBD,,February 2025 PDF,NO
2025-02-11,Belanger Nursing School Seniors,Belanger Nursing Seniors,Seniors,Molly; Beth,,False,TBD,,February 2025 PDF,NO
2025-02-12,Cairo Elementary 3-5,Cairo-Durham Elem,Spring Picture Day,Steph,,False,TBD,,February 2025 PDF,NO
2025-02-26,Blessed Sacrament Spring Photos,Blessed Sacrament,Spring Picture Day,Beth,Molly,False,TBD,,February 2025 PDF,NO
2025-02-27,Sara Marie School Gala Headshots,Sara Marie School,Headshots,Steph,,False,09:00,,February 2025 PDF,NO
2025-03-06,Shatekon Grad Photos,Shatekon Elementary School (Shenendehowa School District),Special Event,Beth,Molly,False,TBD,,March 2025 PDF,NO
2025-03-06,Walter B Howard 6th Grade Photos,Walter B Howard,Special Event,Jeff,,False,TBD,,March 2025 PDF,NO
2025-03-07,Jefferson School Dance,Jefferson Elementary School (Schalmont School District),Special Event,Matt,,False,TBD,,March 2025 PDF,NO
2025-03-11,Our Lady Queen of Peace Nursery School Day 1,Our Lady Queen of Peace Nursery School,Spring Picture Day,Molly,,False,TBD,,March 2025 PDF,NO
2025-03-12,Our Lady Queen of Peace Nursery School Day 2,Our Lady Queen of Peace Nursery School,Spring Picture Day,Molly,,False,TBD,,March 2025 PDF,NO
2025-03-12,Arongen Yearbook Photos,Arongen Elementary School (Shenendehowa School District),Special Event,Beth,,False,TBD,,March 2025 PDF,NO
2025-03-12,Milton Terrace Yearbook Photos,Milton Terrace Elementary School (Ballston Spa School District),Special Event,Jeff,,False,TBD,,March 2025 PDF,NO
2025-03-13,Eagle Point Spring Pictures,Eagle Point Elementary School (Albany School District),Spring Picture Day,Molly; Matt; Jeff,Lauren,False,TBD,,March 2025 PDF,NO
2025-03-14,Eagle Point 5th Grade Grads,Eagle Point Elementary School (Albany School District),Special Event,Jeff,,False,TBD,,March 2025 PDF,NO
2025-03-14,Skano 5th Grade Group Picture,Skano Elementary School (Shenendehowa School District),Special Event,Beth,,False,TBD,,March 2025 PDF,NO
2025-03-18,Cairo Grads PK/K/5th Grade,Cairo-Durham Elem,Special Event,Matt; Molly; Jeff,Beth,False,TBD,,March 2025 PDF,NO
2025-03-19,BKW Upper School Spring Photos,BKW Secondary,Spring Picture Day,Matt,Carmen,False,TBD,,March 2025 PDF,NO
2025-03-19,SCAP Early Learning Bigelow,SCAP Early Learning Bigelow,Spring Picture Day,Beth; Molly,Jeff; Lauren,False,TBD,,March 2025 PDF,NO
2025-03-20,SCAP Early Learning Bellevue,SCAP Bellevue,Spring Picture Day,Beth,Simone,False,TBD,,March 2025 PDF,NO
2025-03-20,SCAP Early Learning Northside,SCAP Northside,Spring Picture Day,Jeff,,False,TBD,,March 2025 PDF,NO
2025-03-20,Story Place Preschool,Story Place Preschool,Spring Picture Day,Molly; Matt,Lauren; Milton,False,TBD,,March 2025 PDF,NO
2025-03-25,Gordon Creek Yearbook Club,Gordon Creek Elementary School (Ballston Spa School District),Special Event,Jeff,,False,TBD,,March 2025 PDF,NO
2025-03-25,Wood Road Yearbook Photos,Wood Road Elementary School (Ballston Spa School District),Special Event,Beth,,False,TBD,,March 2025 PDF,NO
2025-03-26,Schenectady JCC Day 1,Schenectady JCC,Spring Picture Day,Molly,Beth,False,TBD,,March 2025 PDF,NO
2025-03-26,Waterford Spring Sports,Waterford MS/HS,Sports,Jeff; Steph,,False,TBD,,March 2025 PDF,NO
2025-03-27,Schenectady JCC Day 2,Schenectady JCC,Spring Picture Day,Molly,Jeff,False,TBD,,March 2025 PDF,NO
2025-03-27,Spotted Zebra Day 1,Spotted Zebra,Spring Picture Day,Matt,Beth,False,TBD,,March 2025 PDF,NO
2025-03-28,Spotted Zebra Day 2,Spotted Zebra,Spring Picture Day,Beth,Matt,False,TBD,,March 2025 PDF,NO
2025-03-28,Cohoes HS Spring Sports,Cohoes High School,Sports,Steph; Jeff,,False,TBD,,March 2025 PDF,NO
2025-04-01,AA Spring Sports,The Academies (AA/G),Sports,Steph; Matt; Jeff,,False,TBD,,April 2025 PDF,NO
2025-04-02,TSL New Karner,TSL New Karner,Spring Picture Day,Molly,,True,TBD,,April 2025 PDF,NO
2025-04-03,AW Becker Clubs for Yearbook,A.W. Becker Elementary School (Ravena-Coeymans-Selkirk School District),Special Event,Jeff,,False,TBD,,April 2025 PDF,NO
2025-04-04,Shatekon Spring Pics + Pano,Shatekon Elementary School (Shenendehowa School District),Spring Picture Day,Steph; Molly; Beth,Jeff; Marianna,False,TBD,,April 2025 PDF,NO
2025-04-05,Gordon Creek Family Photo Day,Gordon Creek Elementary School (Ballston Spa School District),Family Photos,Jeff,,False,TBD,,April 2025 PDF,NO
2025-04-07,Kindercare Clifton Park Day 1 & Grads,Kindercare Clifton Park,Spring Picture Day,Beth,Molly,False,TBD,,April 2025 PDF,NO
2025-04-08,Kindercare Clifton Park Day 2 & Grads,Kindercare Clifton Park,Spring Picture Day,Beth,Avery,False,TBD,,April 2025 PDF,NO
2025-04-08,Cairo Durham Spring Sports,Cairo-Durham MS/HS,Sports,Steph; Andrew,,False,TBD,,April 2025 PDF,NO
2025-04-08,Wood Road Spring Pics & Pano,Wood Road Elementary School (Ballston Spa School District),Spring Picture Day,Molly; Matt,Marianna; Lauren,False,TBD,,April 2025 PDF,NO
2025-04-09,Our Saviors Spring Pictures Day 1,Our Saviors,Spring Picture Day,Beth,,True,TBD,,April 2025 PDF,NO
2025-04-09,Malta Ave Spring Pics & Pano,Malta Avenue Elementary School (Ballston Spa School District),Spring Picture Day,Steph; Matt,Marianna,False,TBD,,April 2025 PDF,NO
2025-04-10,Our Saviors Spring Pictures Day 2,Our Saviors,Spring Picture Day,Beth,,True,TBD,,April 2025 PDF,NO
2025-04-10,"Northville Spring Sports, Clubs and Retakes",Northville,Sports,Steph,Lauren,False,TBD,,April 2025 PDF,NO
2025-04-11,Shatekon Pano Rain,Shatekon Elementary School (Shenendehowa School District),Rain Date,Steph,,False,TBD,,April 2025 PDF,NO
2025-04-11,Destine Prep Spring Photos,Destine Prep Charter School,Spring Picture Day,Molly; Andrew,Beth,False,TBD,,April 2025 PDF,NO
2025-04-11,Duanesburg Spring Sports,Duanesburg,Sports,Steph; Matt,,False,TBD,,April 2025 PDF,NO
2025-04-22,Arongen Spring Pictures & Pano,Arongen Elementary School (Shenendehowa School District),Spring Picture Day,Beth; Molly,Avery; Marianna,False,TBD,,April 2025 PDF,NO
2025-04-22,BKW 8th Grade Pano,BKW Secondary,Special Event,Jeff,,False,11:00,,April 2025 PDF,NO
2025-04-24,Okte Spring Pics,Okte Elementary School (Shenendehowa School District),Spring Picture Day,Matt; Beth,Avery; Lauren,False,TBD,,April 2025 PDF,NO
2025-04-24,Tesago Spring Pictures & Pano,Tesago Elementary School (Shenendehowa School District),Spring Picture Day,Jeff; Molly,Marilou; Carmen,False,TBD,,April 2025 PDF,NO
2025-04-25,BKW Spring Sports,BKW Secondary,Sports,Steph; Jeff,,False,TBD,,April 2025 PDF,NO
